iterations,accuracy,loss
1,0.1784999966621399,2.2908360958099365
2,0.23000000417232513,2.200495719909668
3,0.2604166567325592,2.01261568069458
4,0.32774999737739563,1.8387196063995361
5,0.36666667461395264,1.7309902906417847
6,0.38091665506362915,1.6714906692504883
7,0.4154166579246521,1.5858790874481201
8,0.42891666293144226,1.5364017486572266
9,0.44341665506362915,1.5013347864151
10,0.46050000190734863,1.4664599895477295
11,0.4724999964237213,1.426161289215088
12,0.4948333203792572,1.384127140045166
13,0.5011666417121887,1.3638230562210083
14,0.5147500038146973,1.3391348123550415
15,0.5172500014305115,1.318885326385498
16,0.5348333120346069,1.2817119359970093
17,0.5362499952316284,1.2685494422912598
18,0.5508333444595337,1.2435709238052368
19,0.5503333210945129,1.2311112880706787
20,0.5666666626930237,1.2037843465805054
21,0.5743333101272583,1.18367338180542
22,0.5790833234786987,1.1732838153839111
23,0.5774999856948853,1.1610265970230103
24,0.5870000123977661,1.1509724855422974
25,0.5911666750907898,1.1379823684692383
26,0.5979166626930237,1.1126562356948853
27,0.6021666526794434,1.1095995903015137
28,0.6075833439826965,1.0883013010025024
29,0.609666645526886,1.0802628993988037
30,0.6165000200271606,1.070637583732605
31,0.6180833578109741,1.056879997253418
32,0.6177499890327454,1.0613490343093872
33,0.6240833401679993,1.0396136045455933
34,0.6290000081062317,1.0353670120239258
35,0.6272500157356262,1.0380340814590454
36,0.6344166398048401,1.021314263343811
37,0.6380833387374878,1.011094570159912
38,0.6416666507720947,1.0097118616104126
39,0.6431666612625122,1.0084868669509888
40,0.6499999761581421,0.993558943271637
41,0.6485000252723694,0.9930920600891113
42,0.6543333530426025,0.9875798225402832
43,0.6512500047683716,0.9928462505340576
44,0.6571666598320007,0.9890300035476685
45,0.6581666469573975,0.9787272810935974
46,0.6639999747276306,0.9738847613334656
47,0.6644999980926514,0.9758458733558655
48,0.6653333306312561,0.9725624322891235
49,0.6650833487510681,0.9764180779457092
50,0.6668333411216736,0.9785539507865906
51,0.6700000166893005,0.9767351746559143
52,0.668916642665863,0.980867862701416
53,0.6692500114440918,0.9862231612205505
