iterations,accuracy,loss,val_accuracy,val_loss
1,0.3963198959827423,1.8200515508651733,0.4906621277332306,1.5826019048690796
2,0.398867666721344,1.8553569316864014,0.4708545506000519,1.6098902225494385
3,0.453644722700119,1.7152252197265625,0.5019807815551758,1.5123848915100098
4,0.49440905451774597,1.5058976411819458,0.5365025401115417,1.3676525354385376
5,0.5201698541641235,1.422834038734436,0.565930962562561,1.2848865985870361
6,0.5467799305915833,1.3361574411392212,0.5823429822921753,1.249241828918457
7,0.5462137460708618,1.293542504310608,0.5998868346214294,1.167661428451538
8,0.5755130648612976,1.2560384273529053,0.5885682106018066,1.1810814142227173
9,0.5855626463890076,1.2065110206604004,0.615166962146759,1.1379132270812988
10,0.5930644273757935,1.1706713438034058,0.6112054586410522,1.1060999631881714
11,0.6094833612442017,1.1397134065628052,0.6400679349899292,1.0562632083892822
12,0.6189667582511902,1.1132506132125854,0.631013035774231,1.0424164533615112
13,0.6351026296615601,1.064225435256958,0.657045841217041,1.0045474767684937
14,0.6431705355644226,1.0423146486282349,0.649688720703125,1.0011839866638184
15,0.6587402820587158,1.0024410486221313,0.678551197052002,0.9594683051109314
16,0.6621372699737549,0.9927711486816406,0.6610073447227478,0.9786773324012756
17,0.6728945374488831,0.9675629734992981,0.7000566124916077,0.924843430519104
18,0.6825194358825684,0.936273992061615,0.6966609954833984,0.8882996439933777
19,0.6847841739654541,0.9266993403434753,0.7079796195030212,0.8611440658569336
20,0.6969568133354187,0.8968599438667297,0.7040181159973145,0.846847414970398
21,0.7078556418418884,0.8631717562675476,0.7125070691108704,0.8495806455612183
22,0.7218683362007141,0.823565661907196,0.7209960222244263,0.8139169216156006
23,0.7106865048408508,0.8320683836936951,0.7102433443069458,0.8532450795173645
24,0.7309271097183228,0.8024693131446838,0.7255234718322754,0.8043737411499023
25,0.7263977527618408,0.8260256052017212,0.7266553640365601,0.7927901744842529
26,0.7375796437263489,0.7772462368011475,0.7255234718322754,0.8014140725135803
27,0.7381457686424255,0.7684104442596436,0.713638961315155,0.8449303507804871
28,0.7511677145957947,0.7325700521469116,0.7413695454597473,0.7656150460243225
29,0.7493276596069336,0.7357457876205444,0.7340124249458313,0.7713558077812195
30,0.7517338991165161,0.7167263031005859,0.7538200616836548,0.7394116520881653
31,0.7627742290496826,0.6862015724182129,0.7317487001419067,0.7684131860733032
32,0.766312837600708,0.6760013699531555,0.7600452899932861,0.7377855777740479
33,0.777211606502533,0.6611236333847046,0.7317487001419067,0.8056241273880005
34,0.7807501554489136,0.6435025930404663,0.7577815651893616,0.722396194934845
35,0.7752299904823303,0.6540533304214478,0.7566496729850769,0.7413164973258972
36,0.7837225794792175,0.6347414255142212,0.7572156190872192,0.7283072471618652
37,0.7957537174224854,0.601555585861206,0.7509903907775879,0.725903332233429
38,0.8039631843566895,0.5765012502670288,0.7577815651893616,0.717284619808197
39,0.8022646903991699,0.569523274898529,0.7707979679107666,0.7127794027328491
40,0.7990092039108276,0.579357922077179,0.7526881694793701,0.7706108689308167
41,0.8131634593009949,0.5525795221328735,0.7572156190872192,0.730940043926239
42,0.8130219578742981,0.5423059463500977,0.7747594714164734,0.7055783867835999
43,0.8234961032867432,0.5173155069351196,0.7640067934989929,0.7349645495414734
44,0.8249115347862244,0.5166504979133606,0.7589133977890015,0.7608158588409424
45,0.8259023427963257,0.5067427754402161,0.755517840385437,0.727098286151886
46,0.8311394453048706,0.4961841106414795,0.7696660757064819,0.7220746278762817
47,0.826893150806427,0.4986379146575928,0.7640067934989929,0.7322696447372437
48,0.8380750417709351,0.4755360782146454,0.7753254175186157,0.6889238357543945
49,0.8433120846748352,0.46144431829452515,0.7719298005104065,0.7084804177284241
50,0.846709132194519,0.4509221613407135,0.7634408473968506,0.7728731632232666
51,0.8533616662025452,0.43522632122039795,0.768534243106842,0.7278865575790405
52,0.8549185991287231,0.4238422214984894,0.7668364644050598,0.7084574699401855
53,0.8607218861579895,0.40609121322631836,0.7645727396011353,0.7601193189620972
