iterations,accuracy,loss,val_accuracy,val_loss
1,0.49611979722976685,1.4086813926696777,0.14124999940395355,3.5361685752868652
2,0.6461458206176758,1.0046542882919312,0.20749999582767487,3.7337191104888916
3,0.7116146087646484,0.8163707256317139,0.4102083444595337,2.0632483959198
4,0.7608854174613953,0.6845725774765015,0.5642708539962769,1.3216314315795898
5,0.8011979460716248,0.5654878616333008,0.6559374928474426,1.0642077922821045
6,0.8402083516120911,0.4622070789337158,0.6897916793823242,0.9879051446914673
7,0.8712239861488342,0.36391329765319824,0.6776041388511658,1.0914149284362793
8,0.9001562595367432,0.2870737314224243,0.6644791960716248,1.2533369064331055
9,0.9238802194595337,0.22018320858478546,0.6621875166893005,1.329714298248291
10,0.9407551884651184,0.1737862378358841,0.6615625023841858,1.4687899351119995
11,0.9504166841506958,0.1458113044500351,0.6768749952316284,1.3899799585342407
