iterations,accuracy,loss,val_accuracy,val_loss
1,0.327671617269516,1.883597493171692,0.4074702858924866,1.9043521881103516
2,0.328945517539978,1.9398747682571411,0.3955857455730438,1.8286550045013428
3,0.34140127897262573,1.8293955326080322,0.46066778898239136,1.727418065071106
4,0.3838641047477722,1.7346543073654175,0.43406903743743896,1.6115682125091553
5,0.4281670153141022,1.6284351348876953,0.4912280738353729,1.5133285522460938
6,0.4615711271762848,1.5591274499893188,0.5002829432487488,1.5033073425292969
7,0.4768577516078949,1.50536048412323,0.5116015672683716,1.4757415056228638
8,0.4972399175167084,1.4554768800735474,0.5353707075119019,1.381541132926941
9,0.5111111402511597,1.4262055158615112,0.5495189428329468,1.3647719621658325
10,0.5276716351509094,1.3706728219985962,0.565930962562561,1.3072221279144287
11,0.5404104590415955,1.3443955183029175,0.5778155326843262,1.2478361129760742
12,0.5489030480384827,1.2951985597610474,0.5959252715110779,1.221648931503296
13,0.5547062754631042,1.286168098449707,0.6032823920249939,1.2101227045059204
14,0.5684359669685364,1.2532755136489868,0.5936615467071533,1.2467455863952637
15,0.5520169734954834,1.2871780395507812,0.6049801707267761,1.2218055725097656
16,0.576079249382019,1.2386963367462158,0.6185625195503235,1.1628907918930054
17,0.5814579129219055,1.2099964618682861,0.6134691834449768,1.1604244709014893
18,0.5891011953353882,1.1913918256759644,0.6298811435699463,1.1162731647491455
19,0.5872611403465271,1.212082862854004,0.6298811435699463,1.1352342367172241
20,0.5957537293434143,1.1749789714813232,0.63667231798172,1.0931986570358276
21,0.6058032512664795,1.1652384996414185,0.6281833648681641,1.1108417510986328
22,0.6150035262107849,1.1329344511032104,0.6400679349899292,1.0794398784637451
23,0.6210898756980896,1.122497320175171,0.6519524455070496,1.0545870065689087
24,0.6140127182006836,1.119637370109558,0.6423316597938538,1.06332528591156
25,0.6284500956535339,1.09169602394104,0.6547821164131165,1.0546534061431885
26,0.6236376762390137,1.1061339378356934,0.6536502838134766,1.0722274780273438
27,0.6363765001296997,1.0608818531036377,0.6689304113388062,1.010005235671997
28,0.6392073631286621,1.0676994323730469,0.6734578609466553,1.0065929889678955
29,0.6382165551185608,1.0536613464355469,0.6536502838134766,1.0343422889709473
30,0.6493984460830688,1.0468040704727173,0.6836445927619934,0.9805978536605835
31,0.6526539325714111,1.0227755308151245,0.678551197052002,0.984184980392456
32,0.6479830145835876,1.01827073097229,0.6808149218559265,0.9738194942474365
33,0.6546355485916138,1.018358588218689,0.6819468140602112,0.9554416537284851
34,0.6628450155258179,0.9978891015052795,0.6581776738166809,0.9943718910217285
35,0.6762915849685669,0.9636183977127075,0.6910017132759094,0.9448891282081604
36,0.671054482460022,0.9640278816223145,0.6898698210716248,0.9339321255683899
37,0.6755838394165039,0.9647297859191895,0.6893039345741272,0.925128698348999
38,0.6864826679229736,0.9267087578773499,0.7000566124916077,0.8995925784111023
39,0.6854918599128723,0.9311116933822632,0.6847764849662781,0.9402427077293396
40,0.6812455654144287,0.9356667995452881,0.7040181159973145,0.8897278904914856
41,0.6859164834022522,0.9304239153862,0.7006224989891052,0.8911648988723755
42,0.6843594908714294,0.9201020002365112,0.7023203372955322,0.8947816491127014
43,0.6948336958885193,0.9051446914672852,0.6960950493812561,0.8792914748191833
44,0.6903043389320374,0.8978572487831116,0.706281840801239,0.865311324596405
45,0.6989384293556213,0.8876303434371948,0.7147707939147949,0.8612892031669617
46,0.7038924098014832,0.886838436126709,0.7176004648208618,0.852653443813324
47,0.7029016017913818,0.8811063766479492,0.7068477869033813,0.8778233528137207
48,0.7092710733413696,0.8536945581436157,0.7272212505340576,0.8473080992698669
49,0.7092710733413696,0.8534017205238342,0.7153367400169373,0.8398560881614685
50,0.715923547744751,0.8369659185409546,0.7159026861190796,0.8398036956787109
51,0.7160651087760925,0.8329944610595703,0.7074136734008789,0.8573316931724548
52,0.7238499522209167,0.8118003010749817,0.7266553640365601,0.8142046928405762
53,0.7170559167861938,0.8279595971107483,0.7181664109230042,0.8359974026679993
