iterations,accuracy,loss
1,0.20200000703334808,2.277487277984619
2,0.26516667008399963,1.992013692855835
3,0.33416667580604553,1.8025790452957153
4,0.3856666684150696,1.688443899154663
5,0.4181666672229767,1.6027922630310059
6,0.4389166533946991,1.5455394983291626
7,0.4584999978542328,1.4861814975738525
8,0.47691667079925537,1.4448211193084717
9,0.49149999022483826,1.4014419317245483
10,0.49433332681655884,1.387911319732666
11,0.5130833387374878,1.3478140830993652
12,0.531499981880188,1.307692289352417
13,0.5444166660308838,1.2814370393753052
14,0.5503333210945129,1.249851107597351
15,0.5650833249092102,1.2272781133651733
16,0.5675833225250244,1.2116864919662476
17,0.5756666660308838,1.1935722827911377
18,0.5864999890327454,1.1621841192245483
19,0.5899999737739563,1.1602914333343506
20,0.5952500104904175,1.136684536933899
21,0.5894166827201843,1.1375224590301514
22,0.6082500219345093,1.1043733358383179
23,0.612500011920929,1.0919370651245117
24,0.6180833578109741,1.0787523984909058
25,0.6286666393280029,1.0544689893722534
26,0.6237499713897705,1.057374119758606
27,0.6342499852180481,1.0311164855957031
28,0.6458333134651184,1.0155518054962158
29,0.6394166946411133,1.0142723321914673
30,0.6473333239555359,0.996533989906311
31,0.656583309173584,0.9833934903144836
32,0.6535000205039978,0.9897133111953735
33,0.6579166650772095,0.9699018597602844
34,0.6610833406448364,0.9636054039001465
35,0.652999997138977,0.979905903339386
36,0.6558333039283752,0.9689667820930481
37,0.6704999804496765,0.9395866990089417
38,0.6706666946411133,0.9405221343040466
39,0.6700000166893005,0.9313337206840515
40,0.6784999966621399,0.9146245121955872
41,0.6710833311080933,0.9331269264221191
42,0.675083339214325,0.9142003655433655
43,0.6855000257492065,0.8996440172195435
44,0.6851666569709778,0.895876944065094
45,0.6834999918937683,0.8973974585533142
46,0.6867499947547913,0.8953965902328491
47,0.687333345413208,0.8892078399658203
48,0.6973333358764648,0.870492160320282
49,0.6944166421890259,0.8710470199584961
50,0.6966666579246521,0.8716388940811157
51,0.6945000290870667,0.8660205006599426
52,0.70333331823349,0.8528308272361755
53,0.7014999985694885,0.8492894768714905
54,0.7018333077430725,0.852997899055481
55,0.7047500014305115,0.8457067012786865
56,0.7084166407585144,0.8340721130371094
57,0.7005833387374878,0.8521223068237305
58,0.7079166769981384,0.8360328674316406
59,0.7125833630561829,0.8218349814414978
60,0.7114999890327454,0.8296117186546326
61,0.7166666388511658,0.8195842504501343
62,0.7147499918937683,0.8220087885856628
63,0.7085000276565552,0.8330796957015991
64,0.7135000228881836,0.81500643491745
65,0.718583345413208,0.807235598564148
66,0.7177500128746033,0.8113337159156799
67,0.718500018119812,0.8097264766693115
68,0.7205833196640015,0.8003808856010437
69,0.7225000262260437,0.8012265563011169
70,0.7243333458900452,0.7887765169143677
71,0.7286666631698608,0.7928099036216736
72,0.7208333611488342,0.8020037412643433
73,0.7265833616256714,0.7862352132797241
74,0.7281666398048401,0.7875112295150757
75,0.7230833172798157,0.7920832633972168
76,0.7290833592414856,0.7850357294082642
77,0.7279999852180481,0.7833855748176575
78,0.7250833511352539,0.7922508120536804
79,0.7256666421890259,0.7904803156852722
80,0.7267500162124634,0.7876312732696533
81,0.7221666574478149,0.7961881756782532
82,0.7282500267028809,0.782742977142334
83,0.7316666841506958,0.7722557783126831
84,0.7309166789054871,0.7733759880065918
85,0.7306666374206543,0.7758969068527222
86,0.7307500243186951,0.7769098877906799
87,0.7321666479110718,0.7728897929191589
88,0.7338333129882812,0.7712224125862122
89,0.734333336353302,0.7683005928993225
90,0.7348333597183228,0.772129237651825
91,0.7301666736602783,0.7807196974754333
92,0.7318333387374878,0.7732256054878235
93,0.7300833463668823,0.7815102338790894
94,0.7336666584014893,0.7677819728851318
95,0.73458331823349,0.7677754759788513
96,0.7367500066757202,0.7669652700424194
97,0.7360000014305115,0.7643323540687561
98,0.734666645526886,0.7780460715293884
99,0.7329999804496765,0.7798847556114197
100,0.7348333597183228,0.7735769748687744
101,0.7366666793823242,0.7649591565132141
102,0.7315833568572998,0.7860180139541626
