iterations,accuracy,loss,val_accuracy,val_loss
1,0.42921873927116394,1.5774743556976318,0.1184374988079071,4.347871780395508
2,0.5417708158493042,1.2606734037399292,0.1353124976158142,5.179315090179443
3,0.59765625,1.1175971031188965,0.31989583373069763,2.71915864944458
4,0.6391666531562805,1.0116571187973022,0.5367708206176758,1.3493670225143433
5,0.6688281297683716,0.9242984056472778,0.6056249737739563,1.1616359949111938
6,0.6935937404632568,0.8673067092895508,0.6263541579246521,1.1183687448501587
7,0.7149218916893005,0.8014594316482544,0.6502083539962769,1.0499720573425293
8,0.7326822876930237,0.7557579874992371,0.6600000262260437,1.0235261917114258
9,0.7501562237739563,0.7080453038215637,0.6980208158493042,0.9031996726989746
10,0.7643489837646484,0.6633327007293701,0.7034375071525574,0.875323474407196
11,0.7760416865348816,0.6263452172279358,0.7166666388511658,0.849390983581543
12,0.7874479293823242,0.5970130562782288,0.7181249856948853,0.8373644948005676
13,0.7991145849227905,0.5640501379966736,0.7136458158493042,0.8971502780914307
14,0.80643230676651,0.5432211756706238,0.7117708325386047,0.8919343948364258
15,0.8162239789962769,0.5133012533187866,0.6861458420753479,1.0367331504821777
16,0.8266927003860474,0.4876804053783417,0.6957291960716248,0.9844813942909241
17,0.8334375023841858,0.4672599732875824,0.7163541913032532,0.9091566205024719
