iterations,accuracy,loss,val_accuracy,val_loss
1,0.3382551968097687,1.7861179113388062,0.41999998688697815,1.556097149848938
2,0.47864583134651184,1.4345271587371826,0.5108333230018616,1.3626660108566284
3,0.5455989837646484,1.261023998260498,0.5728124976158142,1.2002067565917969
4,0.5882812738418579,1.1499727964401245,0.5848958492279053,1.1810681819915771
5,0.6180989742279053,1.0738930702209473,0.6211458444595337,1.086888074874878
6,0.6446874737739563,1.0033067464828491,0.5993750095367432,1.14498770236969
7,0.6685156226158142,0.9492952227592468,0.6353124976158142,1.0416516065597534
8,0.6876562237739563,0.8936893939971924,0.6717708110809326,0.9532579779624939
9,0.7068750262260437,0.8307565450668335,0.6600000262260437,0.9990215301513672
10,0.721666693687439,0.7923174500465393,0.6768749952316284,0.9388298392295837
11,0.7388020753860474,0.7447377443313599,0.6670833230018616,0.9819389581680298
12,0.7495312690734863,0.7109008431434631,0.6706249713897705,0.9713652729988098
13,0.7673177123069763,0.6611284613609314,0.6860416531562805,0.9184253811836243
14,0.7803124785423279,0.6264282464981079,0.6855208277702332,0.9325011968612671
15,0.7957552075386047,0.5852148532867432,0.6910416483879089,0.9307368993759155
16,0.8091927170753479,0.5520946979522705,0.6960416436195374,0.9121749997138977
17,0.8208072781562805,0.5144009590148926,0.6994791626930237,0.9424851536750793
18,0.8317187428474426,0.4796980917453766,0.6896874904632568,0.9983134865760803
19,0.8438541889190674,0.4528404176235199,0.6913541555404663,0.9750714898109436
20,0.8519791960716248,0.4211394786834717,0.6852083206176758,1.088232398033142
21,0.8707031011581421,0.3732873201370239,0.698229193687439,0.9927449822425842
