iterations,accuracy,loss
1,0.10000000149011612,2.3000526428222656
2,0.19941666722297668,2.2798404693603516
3,0.21699999272823334,2.1514933109283447
4,0.24408333003520966,2.0548758506774902
5,0.3190000057220459,1.9325319528579712
6,0.33941665291786194,1.8299436569213867
7,0.36375001072883606,1.7543432712554932
8,0.39258334040641785,1.690380334854126
9,0.41200000047683716,1.6314047574996948
10,0.4299166798591614,1.5869688987731934
11,0.4427500069141388,1.5459381341934204
12,0.45616665482521057,1.5138158798217773
13,0.46166667342185974,1.493704080581665
14,0.47483333945274353,1.4632644653320312
15,0.4841666519641876,1.4361568689346313
16,0.49316665530204773,1.4098243713378906
17,0.49950000643730164,1.3876657485961914
18,0.5057500004768372,1.3753479719161987
19,0.5163333415985107,1.34984290599823
20,0.5222499966621399,1.3353990316390991
21,0.5299999713897705,1.3188775777816772
22,0.5346666574478149,1.2983918190002441
23,0.5458333492279053,1.279780387878418
24,0.5485000014305115,1.263135552406311
25,0.5540000200271606,1.250245451927185
26,0.5585833191871643,1.237567663192749
27,0.5674166679382324,1.218792200088501
28,0.5714166760444641,1.2056868076324463
29,0.574916660785675,1.193548560142517
30,0.581416666507721,1.183915138244629
31,0.5833333134651184,1.1750773191452026
32,0.5873333215713501,1.1624360084533691
33,0.5914999842643738,1.1542859077453613
34,0.5957499742507935,1.1425762176513672
35,0.5965833067893982,1.1326775550842285
36,0.6053333282470703,1.1190450191497803
37,0.6071666479110718,1.1131566762924194
38,0.6104166507720947,1.1033505201339722
39,0.6134999990463257,1.0958821773529053
40,0.6198333501815796,1.087242603302002
41,0.621833324432373,1.0766081809997559
42,0.6223333477973938,1.0744296312332153
43,0.624750018119812,1.0665349960327148
44,0.6277499794960022,1.053981065750122
45,0.6301666498184204,1.0495226383209229
46,0.6341666579246521,1.0414462089538574
47,0.6348333358764648,1.0389277935028076
48,0.6379166841506958,1.0304738283157349
49,0.6389166712760925,1.025654911994934
50,0.6412500143051147,1.0184282064437866
51,0.6412500143051147,1.0122534036636353
52,0.6461666822433472,1.0080690383911133
53,0.6475833058357239,1.0048564672470093
54,0.6485833525657654,0.9991150498390198
55,0.6514999866485596,0.9948845505714417
56,0.6520000100135803,0.9911468625068665
57,0.6510833501815796,0.9903032779693604
58,0.6526666879653931,0.9869889616966248
59,0.656333327293396,0.9749218821525574
60,0.6573333144187927,0.9711955785751343
61,0.6598333120346069,0.9637417197227478
62,0.6618333458900452,0.9624715447425842
63,0.6635833382606506,0.9598424434661865
64,0.6630833148956299,0.9583903551101685
65,0.6647499799728394,0.9539698958396912
66,0.6672499775886536,0.9480804800987244
67,0.6637499928474426,0.9473692178726196
68,0.6650833487510681,0.9441447854042053
69,0.668833315372467,0.9380092620849609
70,0.671500027179718,0.9368836879730225
71,0.6708333492279053,0.9333507418632507
72,0.6729999780654907,0.9293583035469055
73,0.6743333339691162,0.9274791479110718
74,0.6739166378974915,0.9265219569206238
75,0.674833357334137,0.9217269420623779
76,0.6780833601951599,0.9178194999694824
77,0.6774166822433472,0.9137577414512634
78,0.6798333525657654,0.9143118262290955
79,0.6779999732971191,0.9132692813873291
80,0.6800000071525574,0.9114543199539185
81,0.6840833425521851,0.905031144618988
82,0.6801666617393494,0.9109998941421509
83,0.6834999918937683,0.9045931100845337
84,0.684499979019165,0.9029490351676941
85,0.687666654586792,0.8999747633934021
86,0.6840000152587891,0.9008935689926147
87,0.6864166855812073,0.8974252939224243
88,0.6893333196640015,0.8954522013664246
89,0.6884166598320007,0.8936114311218262
90,0.687416672706604,0.8958170413970947
91,0.6862499713897705,0.8972671031951904
92,0.6884166598320007,0.8971256613731384
93,0.6924999952316284,0.8864234089851379
94,0.6897500157356262,0.8884696364402771
95,0.6903333067893982,0.8915427327156067
96,0.6920833587646484,0.8896579742431641
97,0.6924166679382324,0.8851335644721985
98,0.6899166703224182,0.891694962978363
99,0.6971666812896729,0.882695734500885
100,0.6962500214576721,0.8832326531410217
101,0.6980000138282776,0.8831844329833984
102,0.6954166889190674,0.8859070539474487
103,0.6978333592414856,0.8813187479972839
104,0.6956666707992554,0.8850589990615845
105,0.6957499980926514,0.8889928460121155
106,0.6990000009536743,0.8840592503547668
107,0.6982499957084656,0.8874830007553101
108,0.6991666555404663,0.8832781314849854
