iterations,accuracy,loss,val_accuracy,val_loss
1,0.4711960256099701,1.6630626916885376,0.3389926552772522,2.0803377628326416
2,0.5188959836959839,1.4096574783325195,0.33842670917510986,2.0493369102478027
3,0.567162036895752,1.2554926872253418,0.33842670917510986,2.236478567123413
4,0.5841472148895264,1.2095484733581543,0.33842670917510986,2.1520893573760986
5,0.6243453621864319,1.0940775871276855,0.3401245176792145,2.2667253017425537
6,0.642604410648346,1.0512676239013672,0.3378607928752899,2.2765536308288574
