iterations,accuracy,loss
1,0.11275000125169754,2.3444294929504395
2,0.19499999284744263,2.5772182941436768
3,0.12999999523162842,2.7650606632232666
4,0.13950000703334808,2.9365971088409424
5,0.15416666865348816,3.0678906440734863
6,0.1655000001192093,3.2170321941375732
