iterations,accuracy,loss,val_accuracy,val_loss
1,0.3479122519493103,1.8350495100021362,0.4306734502315521,1.8089016675949097
2,0.38513800501823425,1.8483927249908447,0.46632710099220276,1.8060742616653442
3,0.41500353813171387,1.775420904159546,0.5065082311630249,1.6328649520874023
4,0.46100494265556335,1.6185382604599,0.5495189428329468,1.5145721435546875
5,0.520736038684845,1.4572330713272095,0.5297113656997681,1.4185492992401123
6,0.5436659455299377,1.3839553594589233,0.5953593850135803,1.293939232826233
7,0.5609341859817505,1.3493261337280273,0.620826244354248,1.2342036962509155
8,0.5701344609260559,1.2974934577941895,0.6168647408485413,1.1853057146072388
9,0.5864118933677673,1.2437971830368042,0.6338426470756531,1.1539193391799927
10,0.6015569567680359,1.1946446895599365,0.6479909420013428,1.0965596437454224
11,0.6056616902351379,1.1665356159210205,0.6400679349899292,1.0824193954467773
12,0.6148620247840881,1.1344746351242065,0.649688720703125,1.0678445100784302
13,0.6159943342208862,1.1281442642211914,0.657045841217041,1.041622519493103
14,0.6324133276939392,1.0964982509613037,0.6661007404327393,1.0012295246124268
15,0.6380749940872192,1.0635005235671997,0.6655347943305969,0.9884458184242249
16,0.6471337676048279,1.036391019821167,0.6779853105545044,0.9991169571876526
17,0.6409058570861816,1.0446274280548096,0.6728919148445129,0.984724223613739
18,0.6513800621032715,1.0181875228881836,0.664402961730957,0.9851499795913696
19,0.6523708701133728,0.9987806677818298,0.6825127601623535,0.9324952960014343
20,0.6648266315460205,0.9698783159255981,0.6943972706794739,0.9059334993362427
21,0.6615711450576782,0.9946181774139404,0.6830786466598511,0.9311262965202332
22,0.6731776595115662,0.9420158863067627,0.6955291628837585,0.8900274038314819
23,0.671054482460022,0.961841881275177,0.7068477869033813,0.8770067095756531
24,0.6789808869361877,0.9261025786399841,0.711941123008728,0.860611617565155
25,0.6861995458602905,0.9101836681365967,0.7079796195030212,0.8548776507377625
26,0.6799716949462891,0.9200369715690613,0.7091115117073059,0.8673982620239258
27,0.7037509083747864,0.8690844774246216,0.7226938605308533,0.8170228600502014
28,0.6978060603141785,0.8629514575004578,0.7260894179344177,0.8297519683837891
29,0.6942675113677979,0.8662401437759399,0.7311828136444092,0.792179524898529
30,0.7082802653312683,0.8414555788040161,0.7345783710479736,0.7830142378807068
31,0.7111111283302307,0.8321573138237,0.7475947737693787,0.7711540460586548
32,0.7128096222877502,0.8305777311325073,0.7249575257301331,0.7821225523948669
33,0.7232837677001953,0.8014545440673828,0.7391058206558228,0.7634762525558472
34,0.7258315682411194,0.7992799878120422,0.7385398745536804,0.7747039198875427
35,0.7292286157608032,0.786480724811554,0.7606111764907837,0.7497949004173279
36,0.731634795665741,0.7786708474159241,0.7521222233772278,0.7364392280578613
37,0.7375796437263489,0.7717803120613098,0.7583475112915039,0.7371281981468201
38,0.7246991991996765,0.7865942716598511,0.7538200616836548,0.7204742431640625
39,0.7406935691833496,0.7592211961746216,0.7617430686950684,0.7221028208732605
40,0.7442321181297302,0.7312192916870117,0.755517840385437,0.7258365750312805
