iterations,accuracy,loss
1,0.11675000190734863,2.293929100036621
2,0.21691666543483734,2.2037172317504883
3,0.27924999594688416,2.0298521518707275
4,0.3305833339691162,1.846286654472351
5,0.36258333921432495,1.7346007823944092
6,0.38883334398269653,1.644924521446228
7,0.40683332085609436,1.5763307809829712
8,0.43666666746139526,1.528071641921997
9,0.45225000381469727,1.4657580852508545
10,0.47075000405311584,1.4242804050445557
11,0.492333322763443,1.378031849861145
12,0.503250002861023,1.3543598651885986
13,0.5050833225250244,1.3497358560562134
14,0.5278333425521851,1.3027496337890625
15,0.5347499847412109,1.2783640623092651
16,0.5427500009536743,1.2517757415771484
17,0.5509999990463257,1.2377240657806396
18,0.5609166622161865,1.2152247428894043
19,0.565500020980835,1.199878454208374
20,0.5731666684150696,1.1810696125030518
21,0.5797500014305115,1.167758584022522
22,0.5821666717529297,1.1643493175506592
23,0.5902500152587891,1.144307255744934
24,0.5912500023841858,1.1348005533218384
25,0.6009166836738586,1.112552523612976
26,0.606333315372467,1.101314663887024
27,0.6098333597183228,1.094109058380127
28,0.6130833625793457,1.0797398090362549
29,0.6165833473205566,1.0701003074645996
30,0.6238333582878113,1.0672065019607544
31,0.624916672706604,1.0528846979141235
32,0.6305000185966492,1.0516715049743652
33,0.6360833048820496,1.0369874238967896
34,0.637333333492279,1.0315055847167969
35,0.6413333415985107,1.0210953950881958
36,0.64083331823349,1.0290592908859253
37,0.6465833187103271,1.0145834684371948
38,0.6467499732971191,1.0101404190063477
39,0.6479166746139526,1.0057835578918457
40,0.6526666879653931,1.003720760345459
41,0.6524166464805603,0.9932231307029724
42,0.6535833477973938,0.9915781021118164
43,0.6600000262260437,0.9868656396865845
44,0.659250020980835,0.9857598543167114
45,0.6637499928474426,0.9815222024917603
46,0.6578333377838135,0.9925681352615356
47,0.6622499823570251,0.9828282594680786
48,0.6650833487510681,0.9899160265922546
49,0.6683333516120911,0.9834455847740173
50,0.6673333048820496,0.9867079257965088
